category,status,@icon
(gender identity),man,man.png
(gender identity),woman,woman.png
(gender identity),transwoman,transwoman.png
(gender identity),transman,transwoman.png
(sexual orientation),queer,queer.png
(sexual orientation),bisexual,bisexual.png
(employment status),employed part-time,part_time.png
(employment status),unemployed,unemployed.png
(employment status),employed at night job,night_job.png
(age),young adult,young_adult.png
(age),adult,adult.png
(age),senior,senior.png
(ethnicity),person of colour,person_of_colour.png
(ethnicity),white-passing,white_passing.png
(ethnicity),indigenous or aboriginal,indigenous.png
(place of origin),from developing nation,world_developing.png
(place of origin),from non-developing nation,world_nondeveloping.png
(disability),hard of hearing or deaf,deaf.png
(disability),blind or partially blind,blind.png
(disability),paraplegic or mobility reduced,paraplegic.png
(disability),dyslexic,dyslexic.png
(marital status),single,single.png
(marital status),divorced,divorced.png
(marital status),married same-sex partner,married_same_sex.png
(mental health),generalized anxiety disorder,anxiety.png
(mental health),substance abuse past or present,alcoholism.png
(mental health),bipolar disorder,bipolar.png
(mental health),schizophrenia,schizophrenia.png
(mental health),post-traumatic stress disorder,ptsd.png
(mental health),depression,depression.png
(literacy level),illiterate or semiliterate,illiteracy.png
(language),English-first language,english_native.png
(language),English-second language,english_second_language.png
(language),non-English speaking,non_english.png
(family status),no children,no_children.png
(family status),1 or more children,with_children.png
(citizenship),recent immigrant,recent_immigrant.png
(citizenship),undocumented immigrant,undocumented_immigrant.png
(educational background),high-school drop out,dropout.png
(educational background),completed bachelor's degree,graduate.png
(educational background),completed PhD,phd.png
(work experience),professional but irrelevant experience,property_dealer.png 
(work experience),unpaid relevant experience,volunteer.png
(work experience),inadequate or no professional experience,inexperienced.png
(geographic location),urban,urban.png
(geographic location),suburban,suburban.png
(geographic location),rural,rural.png
(religion),atheist or agnostic,atheism.png
(religion),practices multiple daily rituals,pray.png
(religion),observing minority religion,minority_religion.png
(socioeconomic status),middle-class,middle_class.png
(socioeconomic status),economically-marginalized,economically_marginalized.png
(socioeconomic status),upper-class,upper_class.png
(criminal record),on parole,parole.png
(criminal record),registered sex offender,criminal.png
